"","v001_rawvalue","v002_rawvalue","v036_rawvalue","v042_rawvalue","v037_rawvalue","v009_rawvalue","v011_rawvalue","v133_rawvalue","v070_rawvalue","v132_rawvalue","v049_rawvalue","v134_rawvalue","v045_rawvalue","v014_rawvalue","v085_rawvalue","v004_rawvalue","v088_rawvalue","v062_rawvalue","v005_rawvalue","v050_rawvalue","v155_rawvalue","v021_rawvalue","v069_rawvalue","v023_rawvalue","v024_rawvalue","v044_rawvalue","v082_rawvalue","v140_rawvalue","v043_rawvalue","v135_rawvalue","v125_rawvalue","v124_rawvalue","v136_rawvalue","v067_rawvalue","v137_rawvalue","v147_rawvalue","v127_rawvalue","v144_rawvalue","v145_rawvalue","v060_rawvalue","v061_rawvalue","v139_rawvalue","v083_rawvalue","v039_rawvalue","v143_rawvalue","v003_rawvalue","v122_rawvalue","v131_rawvalue","v063_rawvalue","v065_rawvalue","v141_rawvalue","v142_rawvalue","v148_rawvalue","v153_rawvalue","v154_rawvalue","v051_rawvalue","v052_rawvalue","v053_rawvalue","v054_rawvalue","v055_rawvalue","v081_rawvalue","v080_rawvalue","v056_rawvalue","v126_rawvalue","v059_rawvalue","v057_rawvalue","v058_rawvalue"
"349",9593.28834978072,0.238790072879471,4.56716319168254,4.15617962779686,0.119938493080472,0.172489141730947,0.423,5.9,0.343,0.484662312186079,0.144470484552451,0.343283582089552,803.7,41.28,0.155003826205255,0.000152154066860844,0.000195350654424692,0.00117210392654815,6021,0.43,0.34,0.525641025641026,0.421762114537445,0.0531471559235807,0.376,4.44746440757736,0.60232764572443,11.3028735382341,361.365050495381,68.5204780821205,10.6,0,0.183023872679045,0.844750834672932,0.533,76.639049969186,450.7,0.145357210310064,0.139003612953079,0.178,719.2,0.239,0.0558381555959592,22.2726105664977,0.381430704367369,0.193800876643707,0.055859375,0.000173645026155282,38084,0.73015873015873,35.2561375491495,35.1565893928702,13,0.702426343154246,0.107618437900128,46071,0.219704369342971,0.171604697097958,0.552885763278418,0.0054915239521608,0.0069892123027501,0.00138916020924226,0.103687786242973,0.325584424041154,0.0277585650389634,0.524277745219335,0.653797236413805
"350",7869.14813909198,0.203117991423515,4.91199967192115,4.4705804052771,0.075187969924812,0.214915807047969,0.342,7.7,0.335,0.22439341165358,0.171451245282305,0.315789473684211,238.4,39.2775229357798,0.155547054322877,0.000348594004183128,0.000281801273741757,0.00039452178323846,7341,0.38,0.29,0.934131736526946,0.508276255707763,0.0421114197982161,0.244,4.14499178164068,0.272558139534884,5.8099000697188,322.523896088665,101.066425036593,8.2,0,0.11802748585287,0.756436581898594,0.538,78.1773662172502,393.7,0.14900290211368,0.141370805786035,0.128,143.2,0.164,0.00269430925832869,30.0247704356094,0.359787708278873,0.185588604943444,0.0766324878575283,0.000619962802231866,42880,0.554098360655738,74.9580525612142,47.8395931424568,24.4,0.817158931082982,0.0934238860361107,17743,0.205489488812489,0.204136842698529,0.0511751113115031,0.00665051006030547,0.00614326776757031,0.00112720509496703,0.059178267485769,0.863326382235248,0.0101591187270502,0.487741644592234,0.839187673416376
"351",9607.59479996252,0.21923400472993,4.63587577678601,4.45854936668791,0.0778947368421053,0.205019543722713,0.327,5.2,0.347,0.44652281900031,0.177939291512216,0.25,417,24.975024975025,0.257253158633598,7.15819613457409e-05,0.000363530609277301,0.00151670365703542,7456,0.4,0.37,0.846153846153846,0.327950310559006,0.0517549077929804,0.294,4.01630499940055,0.397072710103872,5.72655690765927,233.542548533061,81.9024775499459,7.1,0,0.142857142857143,0.757894736842105,0.297,83.4156293384746,382.4,0.145878941658793,0.138551681505681,0.158,639.4,0.151,0.310960792702901,24.4379276637341,0.373542550741889,0.297157216899639,0.14341252699784,0.000436236731132761,42865,0.512734584450402,25.4368731258401,25.7389222856212,20.5,0.750058180125669,0.13247759748123,13754,0.154936745673986,0.270612185546023,0.129126072415297,0.0522757016140759,0.00632543260142504,0.00101788570597644,0.207139741166206,0.608186709320925,0.042688679245283,0.442707575977897,0.706380006209252
"352",8995.1540021735,0.21184061036106,4.66605826328691,3.94102945664749,0.0690448791714614,0.18307394060783,0.356,7.2,0.337,0.540313938094938,0.219972836066037,0.25,270.9,36.685369011653,0.13387780419725,0.000437773608505316,0.000123762376237624,0.000556930693069307,5043,0.33,0.36,0.847133757961783,0.485137281597459,0.0385126162018592,0.272,4.43372257780818,0.313749000799361,15.6347717323327,392.169166091485,70.1807153420057,9.1,1,0.176635514018692,0.71059387301044,0.322,76.3868725001832,430,0.140223123760486,0.120077482960186,0.124,219.3,0.163,0.0667787968731898,19.7564567692805,0.353849311586893,0.156086116478057,0.0699491989058226,0.000928217821782178,44135,0.596311475409836,47.4046011875904,29.5637673195957,17.5,0.746553352219075,0.151636073423783,16160,0.155569306930693,0.20730198019802,0.17029702970297,0.00563118811881188,0.00563118811881188,0.000247524752475248,0.0454826732673267,0.756497524752475,0.00701271464149954,0.41404702970297,0.770850406606569
"353",10694.7043059745,0.23258131471319,4.97681347451497,4.36780630875282,0.0930875576036866,0.229892646285981,0.397,5.9,0.373,0.453476586255828,0.193371600912768,0.428571428571429,587.6,50.0424088210348,0.14427538577749,0.000208899101733863,0.000141003948110547,7.05019740552736e-05,7362,0.4,0.36,0.684210526315789,0.34272955623779,0.0475439387111311,0.392,5.24550983899821,0.456951174058889,8.3559640693545,331.69232917845,82.8163162179613,9.2,0,0.140724946695096,0.793751654752449,0.338,75.4008825750144,501.1,0.15346212499744,0.139559656047122,0.145,1385.5,0.215,0.108139334845627,21.8642231740889,0.40094165467071,0.177319897728982,0.0629548762736536,7.05019740552736e-05,35262,0.516148325358852,15.973112085827,9.91040322726577,16.8,0.736980883322347,0.122041763341067,14184,0.196136491821771,0.17660744500846,0.323956570783982,0.0100817822899041,0.00803722504230118,0.000141003948110547,0.0964467005076142,0.550690919345742,0.0194409801188467,0.425479413423576,0.634840191904858
"354",6641.27174797194,0.288541296324201,4.99976986615474,4.22246685369877,0.0715867158671587,0.187894990709127,0.377,6.4,0.346,0.580685875013523,0.148886881935304,0.323529411764706,440,54.2979262308058,0.210888846952255,0.000146198830409357,0.000328335339827077,0.000145926817700923,5752,0.36,0.34,0.727536231884058,0.227038626609442,0.0554489230113031,0.327,4.63065861374748,0.397101449275362,13.1578947368421,269.380966155626,80.8678357290126,7.6,0,0.193569553805774,0.794692450113145,0.288,79.9603331909445,352.8,0.162167330434179,0.145316808027144,0.151,276.8,0.129,0.220564739140711,25.9521856930791,0.360914126210688,0.274478218237848,0.0828095107952993,0.000364817044252307,40056,0.571292594707786,36.7191314788228,25.5775833741785,8.7,0.685151593677118,0.0911808669656203,27411,0.264018094925395,0.160920798219693,0.0659954033052424,0.0117106271204991,0.0115647003027981,0.000912042610630769,0.437379154354091,0.469373609135019,0.0882779148552853,0.472000291853635,0.478093108795211
"355",8304.69362079994,0.242402243720887,4.39704405971691,3.8140183441314,0.0795730228044638,0.152581581003788,0.328,7,0.326,0.625498211548288,0.162518974826971,0.315789473684211,521.5,50.0110889332446,0.24874635918686,0.000356324764571138,0.000396559843358862,0.00044612982377872,6556,0.33,0.32,0.858606557377049,0.319422776911076,0.0724508050089445,0.347,4.63509971509971,0.458548979015715,8.90811911427844,559.986424571526,79.0830474703695,7.3,1,0.220361392684002,0.643630672926448,0.37,78.7944717016215,410.1,0.144551087261202,0.136248033614896,0.114,372.8,0.133,0.150037281324333,26.9106566200215,0.36329419979202,0.319080519706253,0.0959749470387768,0.000396559843358862,38361,0.671266233766234,48.0704283961602,28.2334819859463,13.9,0.654240370309142,0.157926935850376,40347,0.271494782759561,0.132872332515429,0.111185466081741,0.0209681017175998,0.0100379210350212,0.00195801422658438,0.532084169826753,0.327211440751481,0.150017951338065,0.47393858279426,0.378921819110884
"356",8744.88111657061,0.187739599955313,4.52140115316112,4.31301657939825,0.0878543270133283,0.170873050748082,0.316,6.9,0.306,0.812736575258424,0.17122328538185,0.181818181818182,253.9,23.1985095258129,0.145249083855932,0.000514124757294829,0.00035914726646047,0.000777259009504002,5594,0.42,0.39,0.865372953305033,0.554338028169014,0.0512861179998847,0.208,3.88556388124822,0.353145892480996,6.39921240462712,257.503257402166,111.009293827237,8.3,0,0.163449254790632,0.820161444706783,0.393,77.3221424211421,418.5,0.137814849501586,0.133288160445109,0.152,210.3,0.14,0.143119637581869,17.2740850961604,0.365125160396807,0.175305160453675,0.0601206396175952,0.00068613209114836,44710,0.669558929862617,33.8021014933285,25.8611277519382,14.9,0.777846997258909,0.128293241695304,186553,0.184821471646127,0.275905506746072,0.0508273788145996,0.00465283324309982,0.014044266240693,0.000905908776594319,0.133082823647971,0.783000005360407,0.014023360581502,0.519755779858807,0.19375151929065
"357",8593.97037273608,0.212665994258741,4.38556719958027,4.45593809773094,0.0811193208614998,0.168765624556038,0.305,6.7,0.324,0.870072682363898,0.152742552599926,0.242718446601942,361.8,37.3890208828311,0.184564016556139,0.000644093661127461,0.000359631814779896,0.000690104293226286,5754,0.42,0.38,0.72877618522602,0.42290161200667,0.0562066757606971,0.34,3.85675238467117,0.363491158014832,12.1882338951812,318.265926513349,100.572381061139,7.5,1,0.157816561455626,0.797617151412825,0.207,79.0487627198357,408.1,0.139052696264229,0.140598619508352,0.16,260.2,0.15,0.141906784064549,19.9741055121346,0.313195351102803,0.224086891260841,0.0768931174539587,0.000767862523448966,37445,0.763213530655391,48.1398592036943,37.1716022721415,19.8,0.74689238210399,0.122839865394833,102883,0.173750765432579,0.347861162679937,0.0964590845912347,0.00659001001137214,0.0154155691416463,0.00102057677167268,0.198040492598388,0.673570949525189,0.0479541855025645,0.5131557205758,0.21065738060049
"358",6992.44522974137,0.185017877913079,3.91564245693622,3.98762479961988,0.0898360102862443,0.165531519940274,0.256,7.5,0.215,0.922584618288256,0.196326826300518,0.295624332977588,597.9,26.0708830645706,0.140136924388565,0.000831978189818912,0.000569373391094205,0.00168398214922126,5644,0.35,0.39,0.832745523602822,0.656089718656813,0.0382541890374365,0.214,4.80759237239618,0.398335906394735,7.54956628141353,311.507045762832,68.7805652258397,7.1,1,0.196006830151415,0.801488509342871,0.43,79.1335756667743,341.6,0.125126702861061,0.124161444192297,0.104,579.1,0.139,0.0746272755949029,13.5023808444501,0.334756205302599,0.17234451626309,0.0549857958446361,0.00123813864597044,54741,0.581999393133067,44.5095389388088,34.0683583933672,11.3,0.579511510442922,0.163922606924644,1408566,0.228279683025148,0.140190803980786,0.159009233504145,0.0052450506401546,0.0431282595206756,0.00131694219511191,0.285962461112933,0.490522275846499,0.0604096337356216,0.51205268336734,0.0351286093850927
